S	I	R	Total	Time
77.2900288103	113.992645987	9565.71721526	9756.99989006	66.0

76.8709543747	103.538283133	9576.58017538	9756.98941289	67.0

77.7779977134	103.362486105	9575.85941653	9756.99990035	67.0

77.3955036004	93.8854054548	9585.70949535	9756.9904044	68.0

78.3870302442	93.7513611342	9584.86151829	9756.99990966	68.0

78.0373010691	85.1581709607	9593.79582879	9756.99130082	69.0

79.1108293256	85.0591424669	9592.82994629	9756.99991808	69.0

78.7905242483	77.2655328646	9600.93605436	9756.99211147	70.0

79.9435994319	77.1957475468	9599.86057872	9756.9999257	70.0

79.6497847913	70.1255980068	9607.21746192	9756.99284472	71.0

80.8799787199	70.0801166912	9606.03983718	9756.99993259	71.0

80.6100711261	63.6646911544	9612.71874585	9756.99350814	72.0

81.9149826383	63.6392945878	9611.4456616	9756.99993883	72.0

81.6667007804	57.8165156618	9617.51089206	9756.9941085	73.0

83.0439569852	57.8076059427	9616.14838154	9756.99994447	73.0

82.8152807251	52.5214006786	9621.65797055	9756.99465195	74.0

84.2625387542	52.5259157434	9620.21149508	9756.99994958	74.0

84.0516743271	47.7256260366	9625.21784364	9756.995144	75.0

85.5666234043	47.7409655117	9623.69236529	9756.99995421	75.0

85.3719737499	43.380816819	9628.24279905	9756.99558962	76.0

86.9523374331	43.4047777601	9626.64284321	9756.9999584	76.0

86.7724768479	39.4434004103	9630.78011604	9756.9959933	77.0

88.4160153278	39.4741216424	9629.10982523	9756.9999622	77.0

88.2496677643	35.8741195531	9632.87257175	9756.99635906	78.0

89.9541801324	35.9100334862	9631.13575202	9756.99996564	78.0

89.8002005825	32.637595598	9634.55889438	9756.99669057	79.0

91.563527001	32.6773865383	9632.75905523	9756.99996876	79.0

91.4208854919	29.7019367287	9635.87416887	9756.99699109	80.0

93.2409092169	29.7445048312	9634.01455755	9756.99997159	80.0

93.1086770254	27.0383864822	9636.85020009	9756.9972636	81.0

94.9833262473	27.0828166021	9634.93383131	9756.99997416	81.0

94.8606639995	24.6210083721	9637.5158384	9756.99751077	82.0

