S	I	R	Total	Time
33.6282815458	31.3350425108	4431.0366451	4495.99996915	71.0

33.578115203	28.3994222357	4434.01949534	4495.99703278	72.0

34.4103310045	28.5298497514	4433.05979117	4495.99997193	72.0

34.3635894857	25.8580480398	4435.77566196	4495.99729949	73.0

35.2223026243	25.98123592	4434.7964359	4495.99997445	73.0

35.1787286943	23.5490691183	4437.26974393	4495.99754174	74.0

36.0626132162	23.6653427913	4436.27202073	4495.99997673	74.0

36.0219733951	21.4508761428	4438.52491227	4495.99776181	75.0

36.9297809901	21.5605535796	4437.50964424	4495.99997881	75.0

36.8918626629	19.5438905709	4439.56220853	4495.99796176	76.0

37.8224165589	19.6472820146	4438.53028213	4495.9999807	76.0

37.7870255187	17.8103733909	4440.40074455	4495.99814346	77.0

38.7392151398	17.9077810256	4439.35298625	4495.99998242	77.0

38.7061734927	16.2342516772	4441.05788344	4495.99830861	78.0

39.678949744	16.3259692811	4439.99506495	4495.99998398	78.0

39.6480941161	14.8009613567	4441.54940326	4495.99845873	79.0

40.6404651872	14.8872739673	4440.47224624	4495.9999854	79.0

40.611645185	13.4973047159	4441.88964532	4495.99859522	80.0

41.6226727838	13.5784883284	4440.79882558	4495.99998669	80.0

41.5957496661	12.3113213028	4442.09164838	4495.99871935	81.0

42.6245456135	12.3876426154	4440.98779963	4495.99998786	81.0

42.5993911422	11.2321709925	4442.16727011	4495.99883224	82.0

43.6451142716	11.3038872052	4441.05098745	4495.99998893	82.0

43.6216097121	10.2500280919	4442.12729714	4495.99893494	83.0

44.6834630284	10.3173867638	4440.99914011	4495.9999899	83.0

44.6614982766	9.35598545839	4441.98154466	4495.99902839	84.0

45.7387263377	9.41922442271	4440.84204003	4495.99999079	84.0

45.7181991551	8.54196769841	4441.73894658	4495.99911344	85.0

46.8100856479	8.60131503391	4440.58859091	4495.99999159	85.0

46.7909009863	7.80065259391	4441.40763727	4495.99919085	86.0

47.8967664729	7.85632665005	4440.2468992	4495.99999232	86.0

47.8788358773	7.12539998502	4440.99502547	4495.99926133	87.0

48.9980356921	7.17760945594	4439.82434784	4495.99999299	87.0

48.9812767696	6.51018740501	4440.50786134	4495.99932551	88.0

50.1131990517	6.55913144788	4439.3276631	4495.9999936	88.0

50.0975349967	5.94955182961	4439.95229714	4495.99938397	89.0

51.2415988451	5.99542022218	4438.76297508	4495.99999415	89.0

51.2269580131	5.4385369615	4439.33394225	4495.99943723	90.0

52.3826117531	5.48151029367	4438.13587261	4495.99999466	90.0

52.3689272768	4.97264552457	4438.65791295	4495.99948576	91.0

53.5356468297	5.01289541898	4437.45145287	4495.99999512	91.0

53.5228562714	4.54779609171	4437.92887762	4495.99952999	92.0

54.7001436192	4.58548544846	4436.71436647	4495.99999554	92.0

54.6881886545	4.16028401469	4437.15109764	4495.99957031	93.0

55.8755703927	4.19556727563	4435.92885825	4495.99999592	93.0

55.8643965229	3.80674606506	4436.32846449	4495.99960707	94.0

57.0614224968	3.83976949346	4435.09880428	4495.99999627	94.0

57.0509787846	3.48412843227	4435.46453339	4495.99964061	95.0

58.2572208028	3.51503040406	4434.22774538	4495.99999658	95.0

58.2474596305	3.18965775852	4434.56255381	4495.99967119	96.0

59.4625102523	3.21856906158	4433.31891756	4495.99999687	96.0

59.4533870985	2.92081492037	4433.62549709	4495.99969911	97.0

60.6768584895	2.94785905882	4432.37527959	4495.99999714	97.0

60.6683317233	2.67531129482	4432.65608156	4495.99972458	98.0

61.8998545776	2.70060479561	4431.39953801	4495.99999738	98.0

61.8918852681	2.45106727249	4431.65679529	4495.99974783	99.0

63.1311077908	2.47471999188	4430.39416982	4495.9999976	99.0

63.1236595303	2.24619280329	4430.62991673	4495.99976906	100.0

64.3702464795	2.26830823114	4429.36144309	4495.9999978	100.0

64.3632852195	2.05896978031	4429.57753346	4495.99978846	101.0

65.6169170033	2.07964534059	4428.30343564	4495.99999799	101.0

65.6104109018	1.88783608671	4428.50155918	4495.99980617	102.0

66.870782728	1.90716343258	4427.22205199	4495.99999815	102.0

66.8647020067	1.73137114658	4427.4037492	4495.99982236	103.0

68.1315230816	1.74943644893	4426.11903878	4495.99999831	103.0

68.1258398938	1.58828283651	4426.28571442	4495.99983715	104.0

69.3988326684	1.60516706493	4424.99599872	4495.99999845	104.0

69.3935209745	1.45739562808	4425.14893407	4495.99985067	105.0

70.6724204345	1.47317482348	4423.85440332	4495.99999858	105.0

70.6674558865	1.33763984396	4423.99476731	4495.99986304	106.0

71.952008885	1.35238538228	4422.69560443	4495.99999869	106.0

71.9473687177	1.22804192174	4422.82446371	4495.99987435	107.0

73.2373333467	1.24182076818	4421.52084469	4495.9999988	107.0

73.2329962767	1.12771558956	4421.63917283	4495.99988469	108.0

74.5281412759	1.14059054314	4420.33126708	4495.9999989	108.0

74.5240874065	1.0358538669	4420.43995289	4495.99989416	109.0

75.8241916077	1.04788379509	4419.12792359	4495.99999899	109.0

75.8204023401	0.951721812295	4419.22777867	4495.99990283	110.0

77.1252541445	0.962961875614	4417.91178305	4495.99999907	110.0

77.1217120944	0.8746499471	4418.00354872	4495.99991076	111.0

78.4311089809	0.88515181371	4416.68373835	4495.99999915	111.0

78.4277979003	0.804028291285	4416.76809183	4495.99991802	112.0

79.741545963	0.81384034165	4415.44461291	4495.99999922	112.0

79.7384506677	0.739300953415	4415.52217306	4495.99992468	113.0

81.0563641812	0.748468475127	4414.19516662	4495.99999928	113.0

81.0534704816	0.679961222437	4414.26649907	4495.99993077	114.0

82.3753714919	0.688526595409	4412.93610125	4495.99999934	114.0

82.3726661292	0.625547113947	4413.00172312	4495.99993636	115.0

83.6983840686	0.633549986198	4411.66806534	4495.99999939	115.0

83.6958546545	0.575637328133	4411.7284495	4495.99994148	116.0

85.0252259798	0.583114782415	4410.39165868	4495.99999944	116.0

85.0228609404	0.529847580659	4410.44723765	4495.99994617	117.0

86.3557287915	0.536834292206	4409.1074364	4495.99999949	117.0

86.3535173142	0.487827271464	4409.15860589	4495.99995048	118.0

87.6897311936	0.494355657183	4407.81591268	4495.99999953	118.0

87.6876631776	0.449256459799	4407.86303479	4495.99995443	119.0

89.0270786478	0.455356819198	4406.5175641	4495.99999956	119.0

89.0251446581	0.413843116806	4406.56097028	4495.99995805	120.0

