S	I	R	Total	Time
7070.99999693	2.29564021848e-06	7.70193213918e-07	7071.0	17.0

7070.99999595	2.91451530054e-06	1.14103250067e-06	7071.0	18.0

7070.99999394	4.56482315258e-06	1.49526712646e-06	7071.0	18.0

7070.99999197	5.79544077197e-06	2.23267177214e-06	7071.0	19.0

7070.99998785	9.1978025489e-06	2.95030000073e-06	7071.0	19.0

7070.99998389	1.16774118301e-05	4.4361192979e-06	7071.0	20.0

7070.99997533	1.87629888205e-05	5.9075338258e-06	7071.0	20.0

7070.99996725	2.38212492913e-05	8.93851983611e-06	7071.00000001	21.0

7070.99994929	3.87248111213e-05	1.19889662841e-05	7071.0	21.0

7070.99993261	4.91645220705e-05	1.82445986776e-05	7071.00000002	22.0

7070.99989453	8.08315183831e-05	2.4635477323e-05	7071.0	22.0

7070.99985972	0.000102622655627	3.76930558962e-05	7071.00000003	23.0

7070.99977815	0.000170627899308	5.12228177447e-05	7071.0	23.0

7070.99970465	0.000216626983805	7.87861647958e-05	7071.00000007	24.0

7070.99952792	0.000364344285736	0.000107738383654	7071.0	24.0

7070.99937098	0.000462566806303	0.000166594807227	7071.00000014	25.0

7070.99898332	0.000787422968088	0.000229256884277	7071.0	25.0

7070.99864415	0.000999702010976	0.000356457723603	7071.00000031	26.0

7070.99778253	0.00172372834234	0.000493743594613	7071.00000001	26.0

7070.99704005	0.00218842303364	0.000772195827453	7071.00000067	27.0

7070.99509807	0.003825002625	0.0010769393328	7071.00000001	27.0

7070.99345048	0.00485617265442	0.00169483277091	7071.00000149	28.0

7070.9890122	0.0086072105494	0.00238062009052	7071.00000003	28.0

7070.98530471	0.0109275963038	0.00377103427424	7071.00000334	29.0

7070.97504383	0.0196214401712	0.00533479168077	7071.00000007	29.0

7070.96659208	0.0249110891303	0.00850445002618	7071.00000762	30.0

7070.9427958	0.0450997674777	0.0121045846732	7071.00000015	30.0

7070.92336962	0.0572578793197	0.0193900187842	7071.00001752	31.0

7070.86924489	0.103090512198	0.0276649500835	7071.00000035	31.0

7070.82484054	0.130881314805	0.0443181933469	7071.00004005	32.0

7070.70971941	0.227472476653	0.0628088911769	7071.00000077	32.0

7070.61174287	0.288790875655	0.0995546153759	7071.00008836	33.0

7070.39672028	0.465265107155	0.138016195246	7071.00000158	33.0

7070.19633436	0.590672306741	0.21317401692	7071.00018068	34.0

7069.85317154	0.861994132926	0.28483725859	7071.00000293	34.0

7069.48195677	1.09429844016	0.424079386291	7071.0003346	35.0

7068.99850607	1.45827662034	0.543222269948	7071.00000496	35.0

7068.37060786	1.851179252	0.778778573108	7071.00056569	36.0

7067.74730999	2.29400600886	0.958691797387	7071.0000078	36.0

7066.75980434	2.91185508232	1.32922963414	7071.00088905	37.0

7066.00534514	3.41381651762	1.58084993194	7071.00001159	37.0

7064.53628138	4.33280515842	2.13223482679	7071.00132136	38.0

7063.65443074	4.88148625515	2.46409955728	7071.00001655	38.0

7061.5547269	6.19468023793	3.25247913065	7071.00188627	39.0

7060.53092939	6.79648512152	3.67260848186	7071.000023	39.0

7057.60925124	8.62320643377	4.77016277541	7071.00262045	40.0

7056.40388248	9.30708984747	5.28905908455	7071.00003142	40.0

7052.40608092	11.8056401772	6.79185691102	7071.00357801	41.0

7050.9524924	12.6218889229	7.42566114035	7071.00004247	41.0

7045.53645689	16.0050244088	9.46335240472	7071.00483371	42.0

7043.74040265	17.0229482877	10.2367060923	7071.00005703	42.0

7036.44589863	21.5762860879	12.9843011502	7071.00648586	43.0

7034.18078512	22.8861603897	13.9331307169	7071.00007623	43.0

7024.3916876	28.9909764334	17.6259964112	7071.00866044	44.0

7021.48988663	30.7092934569	18.8009214097	7071.0001015	44.0

7008.38638372	38.8709478937	23.7541835027	7071.01151512	45.0

7004.64220861	41.1338978986	25.2240280527	7071.00013456	45.0

6987.14703802	52.0128971495	31.8553013216	7071.01523649	46.0

6982.34626659	54.9460116677	33.7078990227	7071.00017728	46.0

6959.0761237	69.3841018525	42.5597972895	7071.02002284	47.0

6953.04346149	73.0595580365	44.8972119132	7071.00023144	47.0

6922.27569538	92.0936791036	56.65667809	7071.02605258	48.0

6914.91107012	96.5041683422	59.5850599514	7071.00029842	48.0

6874.56732575	121.366109435	75.1000096228	7071.03344481	49.0

6865.84736847	126.434664424	78.7183459415	7071.00037884	49.0

6813.48980133	158.537601075	99.0148134295	7071.04221584	50.0

6803.44379099	164.149567745	103.407113381	7071.00047212	50.0

6736.2864765	205.057801196	129.707946765	7071.05222446	51.0

6724.97176415	211.088714701	134.940096986	7071.00057583	51.0

6639.92360266	262.45813941	168.681354786	7071.06309686	52.0

6627.41625923	268.783724941	174.800700654	7071.00068483	52.0

6521.18163778	332.254769702	217.637725418	7071.0741329	53.0

6507.58026736	338.747426116	224.673096775	7071.00079025	53.0

6376.84457628	415.773352191	278.466286093	7071.08421456	54.0

6362.28112156	422.292838642	286.426918585	7071.00087879	54.0

6204.00103823	513.894358515	353.196360048	7071.09175679	55.0

6188.64813035	520.282945178	362.069857069	7071.00093259	55.0

6000.44751792	626.737918187	443.909322869	7071.09475897	56.0

5984.52057183	632.821163989	453.65919471	7071.00093053	56.0

5765.16332332	753.324503865	552.603189418	7071.0910166	57.0

5748.91424079	758.919457046	563.167153331	7071.00085117	57.0

5498.78462531	891.281559353	681.012339304	7071.07852396	58.0

5482.49021488	896.208405591	692.302057164	7071.00067763	58.0

5203.97243254	1036.68788645	830.395705586	7071.05602457	59.0

5187.91868952	1040.78329993	842.298413897	7071.00040335	59.0

4885.54839181	1184.15447541	1001.32069529	7071.0235625	60.0

4870.01369798	1187.28370855	1013.70263015	7071.00003669	60.0

4550.29858872	1327.20281108	1193.48140821	7070.98280801	61.0

4535.53647018	1329.2702777	1206.19285443	7070.99960231	61.0

4206.41847113	1458.92501338	1405.59346737	7070.93695188	62.0

4192.64185519	1459.88217787	1418.47510455	7070.9991376	62.0

3862.6810696	1572.8109044	1635.39814616	7070.89012016	63.0

3850.05003568	1572.6604154	1648.28823391	7070.99868499	63.0

3527.50464878	1663.5556441	1879.78619456	7070.84648744	64.0

3516.11975046	1662.35057013	1892.52796215	7070.99828274	64.0

3208.12901736	1727.65670614	2135.0236956	7070.8094191	65.0

3198.03115793	1725.49459737	2147.47220252	7070.99795782	65.0

2910.06426618	1763.67753353	2397.03914307	7070.78094278	66.0

2901.24068562	1760.69012314	2409.06691415	7070.99772291	66.0

2636.87831167	1772.16227148	2661.7210824	7070.76166555	67.0

2629.27292171	1768.5026363	2673.22201959	7070.9975776	67.0

2390.28916953	1755.28093624	2925.18094284	7070.7510486	68.0

2383.81508749	1751.11013439	2936.07229044	7070.99751232	68.0

2170.4644158	1716.3320452	3183.9513844	7070.74784539	69.0

2165.01593794	1711.8076724	3194.17390237	7070.99751272	69.0

1976.41421906	1659.22695011	3435.10935377	7070.75052294	70.0

1971.87711016	1654.49442558	3444.62602765	7070.99756339	70.0

1806.38594535	1588.04319807	3676.32842368	7070.7575671	71.0

1802.6454454	1583.23006819	3685.12213658	7070.99765017	71.0

1658.20343477	1506.68990589	3905.87431189	7070.76765256	72.0

1655.14968986	1501.90313291	3913.94493844	7070.9977612	72.0

1529.52701276	1418.69182888	4122.56086385	7070.77970549	73.0

1527.05839833	1414.01732978	4129.92215904	7070.99788716	73.0

1418.03393983	1327.07615952	4325.6828009	7070.79290025	74.0

1416.05876604	1322.57989646	4332.35935852	7070.99802103	74.0

1321.5312573	1234.33699209	4514.93837541	7070.80662481	75.0

1319.96817631	1230.06712739	4520.96285398	7070.99815768	75.0

1238.01702057	1142.452082	4690.35133502	7070.82043759	76.0

1236.79511935	1138.4411862	4695.76198793	7070.99829348	76.0

1165.70603215	1052.93000084	4852.19799429	7070.83402728	77.0

1164.76404358	1049.19777873	4857.03660355	7070.99842586	77.0

1103.0319705	966.872479835	5000.94272927	7070.8471796	78.0

1102.31744532	963.428197545	5005.25291025	7070.99855312	78.0

1048.63605309	885.04059666	5137.18310212	7070.85975187	79.0

1048.10438928	881.88532567	5141.00895917	7070.99867412	79.0

1001.34856505	807.918435925	5261.60465302	7070.87165399	80.0

1000.96212831	805.046927365	5264.98973252	7070.99878819	80.0

960.167665122	735.770532354	5374.94463705	7070.88283452	81.0

959.89483338	733.172909364	5377.93115223	7070.99889497	81.0

924.237840917	668.691740061	5477.96368945	7070.89327043	82.0

924.052415239	666.35464755	5480.59193157	7070.99899436	82.0

892.829879146	606.648909501	5571.42417085	7070.9029595	83.0

892.710249782	604.556720426	5573.73211621	7070.99908642	83.0

865.322435669	549.515341006	5656.07413793	7070.91191461	84.0

865.250874653	547.651090081	5658.09720659	7070.99917133	84.0

841.185830597	497.098459051	5732.63586974	7070.92015939	85.0

841.147912456	495.444538164	5734.40679874	7070.99924936	85.0

819.96806585	449.161645752	5801.79801327	7070.92772487	86.0

819.952158568	447.700343153	5803.34681914	7070.99932086	86.0

801.282865209	405.44121582	5864.2105659	7070.93464693	87.0

801.279679328	404.155130672	5865.56457619	7070.99938619	87.0

784.799519889	365.659398436	5920.482046	7070.94096433	88.0

784.801716122	364.531747259	5921.66598237	7070.99944575	88.0

770.234316563	329.534080173	5971.17832046	7070.9467172	89.0

770.236167033	328.548914087	5972.21441881	7070.99949993	89.0

757.343325244	296.785959186	6016.82266147	7070.9519459	90.0

757.340423513	295.92830828	6017.73081734	7070.99954913	90.0

745.916342574	267.14365516	6057.89669247	7070.9566902	91.0

745.905357637	266.399614147	6058.69462196	7070.99959375	91.0

735.771809269	240.347223503	6094.84195585	7070.96098862	92.0

735.750278717	239.703990869	6095.54536455	7070.99963414	92.0

726.752544643	216.150438387	6128.061895	7070.96487803	93.0

726.718703427	215.59631856	6128.68464868	7070.99967067	93.0

718.722165324	194.322137025	6157.92409102	7070.96839337	94.0

718.674801264	193.846518369	6158.47838404	7070.99970367	94.0

711.562070539	174.646862344	6184.76263459	7070.97156747	95.0

711.500408495	174.240172723	6185.25915224	7070.99973346	95.0

705.168905289	156.924983186	6208.88054251	7070.97443099	96.0

705.0925122	156.578633004	6209.32861512	7070.99976032	96.0

699.452418333	140.972440151	6230.55215388	7070.97701236	97.0

699.361126482	140.678756952	6230.9599011	7070.99978453	97.0

694.333650016	126.620228378	6250.02545947	7070.97933786	98.0

694.22747418	126.372405318	6250.39992684	7070.99980633	98.0

689.743373606	113.713719946	6267.5243381	7070.98143165	99.0

689.622505204	113.505704417	6267.87161634	7070.99982596	99.0

685.620832395	102.111821325	6283.25066216	7070.98331588	100.0

685.485578307	101.938266356	6283.57599896	7070.99984362	100.0

681.912603215	91.6861285181	6297.38627908	7070.98501081	101.0

681.763354839	91.5423245166	6297.69418015	7070.99985951	101.0

678.571643565	82.3200351284	6310.0948562	7070.98653489	102.0

678.408852432	82.2018451231	6310.38917623	7070.99987379	102.0

675.55647458	73.9078420654	6321.52358827	7070.98790492	103.0

675.380633227	73.8116411385	6321.80761226	7070.99988663	103.0

672.83047855	66.3538878585	6331.80476972	7070.98913613	104.0

672.642105568	66.2765071457	6332.08128545	7070.99989816	104.0

670.361293275	59.5717126077	6341.05723646	7070.99024234	105.0

670.160921683	59.5103880037	6341.32859884	7070.99990853	105.0

668.120288549	53.4832640986	6349.38768341	7070.99123606	106.0

667.908456795	53.435589634	6349.65587141	7070.99991784	106.0

666.082112472	48.0181512115	6356.8918649	7070.99212858	107.0

665.859357513	47.9820369481	6357.15853174	7070.9999262	107.0

664.224297337	43.112947224	6363.65568556	7070.99293012	108.0

663.991149365	43.086581433	6363.92220291	7070.99993371	108.0

662.52691648	38.7105437548	6369.75618963	7070.99364987	109.0

662.283894954	38.6923590961	6370.0236864	7070.99994045	109.0

660.972284862	34.7595547628	6375.26245651	7070.99429613	110.0

660.71989556	34.7481981574	6375.53185279	7070.99994651	110.0

659.544697273	31.2137690888	6380.23641002	7070.99487638	111.0

659.283430166	31.2080749674	6380.50844681	7070.99995194	111.0

658.230199019	28.0316493941	6384.73354892	7070.99539734	112.0

657.960526779	28.0306160098	6385.00881404	7070.99995682	112.0

657.016384684	25.1758749603	6388.80360541	7070.99586505	113.0

656.738761713	25.1786434642	6389.08255603	7070.99996121	113.0

655.892221276	22.6129255864	6392.4911381	7070.99628497	114.0

655.607083124	22.6187615825	6392.77412044	7070.99996514	114.0

654.847892544	20.3127037219	6395.8360657	7070.99666197	115.0

654.555655653	20.3209810367	6396.12333199	7070.99996868	115.0

653.874661764	18.2481919691	6398.87414672	7070.99700045	116.0

653.575723455	18.2583783941	6399.16587	7070.99997185	116.0

652.96475064	16.3951431473	6401.63741058	7070.99730437	117.0

652.659489295	16.4067879322	6401.93369747	7070.9999747	117.0

652.11123231	14.7318002135	6404.15454472	7070.99757725	118.0

651.800007708	14.7445231103	6404.45544644	7070.99997726	118.0

651.307936718	13.238643469	6406.45124209	7070.99782228	119.0

650.99109048	13.2521251471	6406.75676393	7070.99997955	119.0

650.549366838	11.8981626315	6408.55051285	7070.99804232	120.0

