S	I	R	Total	Time
48.8440618099	132.203247747	11908.9389709	12089.9862805	69.0

49.589087749	131.862341801	11908.5484415	12089.9998711	69.0

49.278400918	119.603535055	11921.1056567	12089.9875927	70.0

50.0454188074	119.301614833	11920.6528498	12089.9998834	70.0

49.7616529892	108.213083822	11932.0140419	12089.9887787	71.0

50.5510598533	107.945942508	11931.5028922	12089.9998945	71.0

50.2916373208	97.9154077146	11941.7828056	12089.9898506	72.0

51.1037770899	97.679274198	11941.2168533	12089.9999046	72.0

50.8664006791	88.6052383267	11950.5191805	12089.9908195	73.0

51.7015681555	88.3967337147	11949.9016118	12089.9999137	73.0

51.4841861959	80.1874511241	11958.3200579	12089.9916953	74.0

52.3426308108	80.0035494202	11957.6537417	12089.9999219	74.0

52.1434070422	72.5760926784	11965.2729871	12089.9924869	75.0

53.025336403	72.4140852427	11964.5605077	12089.9999294	75.0

52.8426240862	65.6934999557	11971.4570784	12089.9932025	76.0

53.7482073149	65.5509634062	11970.7007654	12089.9999361	76.0

53.5805268818	59.4695032055	11976.9438193	12089.9938494	77.0

54.5098977491	59.344270444	11976.145774	12089.9999422	77.0

54.3559174509	53.8407047202	11981.7978121	12089.9944342	78.0

55.3091773097	53.7308387922	11980.9599316	12089.9999477	78.0

55.167696413	48.7498264048	11986.0774402	12089.994963	79.0

56.1449169385	48.6535969307	11985.2014388	12089.9999526	79.0

56.0148510938	44.1451197263	11989.8354703	12089.9954411	80.0

57.0160768361	44.0609816606	11988.9228986	12089.9999571	80.0

56.8964453044	39.9798321803	11993.119596	12089.9958735	81.0

57.9216960633	39.9064066801	11992.1718584	12089.9999612	81.0

57.8116105353	36.211724949	11995.9729289	12089.9962644	82.0

58.8608835636	36.14778215	11994.9912991	12089.9999649	82.0

58.7595383507	32.8026369052	11998.4344427	12089.996618	83.0

59.8328103958	32.7470804231	11997.4200774	12089.9999682	83.0

59.7394738027	29.7180905636	12000.5393734	12089.9969377	84.0

60.8367029944	29.6699435542	11999.4933246	12089.9999712	84.0

60.7507097137	26.9269359877	12002.3195813	12089.997227	85.0

61.8718373085	26.8853286158	12001.242808	12089.9999739	85.0

61.7925817017	24.4010290317	12003.8038779	12089.9974886	86.0

62.9375336902	24.3651872096	12002.6972555	12089.9999764	86.0

62.8644638385	22.1149406336	12005.0183208	12089.9977253	87.0

64.0331524261	22.0841759072	12003.8826503	12089.9999786	87.0

63.9657648525	20.0456941853	12005.9864804	12089.9979394	88.0

65.158089821	20.0193946535	12004.8224961	12089.9999806	88.0

65.0959247975	18.1725282867	12006.7296801	12089.9981331	89.0

66.3117747558	18.1501504522	12005.5380572	12089.9999824	89.0

66.2544121228	16.4766824425	12007.2672139	12089.9983085	90.0

